"縣市","","遊憩據點","","108年7月","108年8月","108年9月","108年10月","108年11月","108年12月","109年1月","109年2月","109年3月","109年4月","109年5月","109年6月","109年7月","109年8月","109年9月","109年10月","109年11月","109年12月","110年1月","110年2月","110年3月","110年4月","110年5月","110年6月","110年7月","110年8月","110年9月","110年10月","110年11月","110年12月","111年1月","111年2月","111年3月","111年4月","111年5月","111年6月","111年7月","111年8月","111年9月","111年10月","111年11月","111年12月","112年1月","112年2月","112年3月","112年4月","112年5月","112年6月","112年7月","112年8月","112年9月","112年10月","112年11月","112年12月","113年1月","113年2月","113年3月","113年4月","113年5月","113年6月","113年7月","小計"
"","Location","","Scenic Spots","2019/7","2019/8","2019/9","2019/10","2019/11","2019/12","2020/1","2020/2","2020/3","2020/4","2020/5","2020/6","2020/7","2020/8","2020/9","2020/10","2020/11","2020/12","2021/1","2021/2","2021/3","2021/4","2021/5","2021/6","2021/7","2021/8","2021/9","2021/10","2021/11","2021/12","2022/1","2022/2","2022/3","2022/4","2022/5","2022/6","2022/7","2022/8","2022/9","2022/10","2022/11","2022/12","2023/1","2023/2","2023/3","2023/4","2023/5","2023/6","2023/7","2023/8","2023/9","2023/10","2023/11","2023/12","2024/1","2024/2","2024/3","2024/4","2024/5","2024/6","2024/7","Total"
"臺東縣","Taitung County","東部海岸富岡地質公園及加路蘭休憩區","East Coast Fugang Geopark And Jialulan Recreation Area","65771","51654","47709","76751","40976","40877","91235","54720","18517","30717","22311","55246","59251","105167","89536","127121","73314","43158","68694","101445","42131","96832","30376","0","9573","26072","38941","45814","71975","77116","55151","86379","49453","53632","22817","30967","62616","65953","48044","42303","57321","41513","73048","58879","14326","61757","49160","50082","59702","54215","32126","50867","41079","46334","250299","325808","295242","227590","288382","279951","313015","4891011"
"臺東縣","Taitung County","三仙台遊憩區及周邊地區","Sanxiantai recreation area and surrounding areas","64872","52134","40093","56200","45216","40454","57901","46781","24817","23767","24312","47576","76932","99761","58029","74002","45560","33488","33876","54477","29355","33924","14687","0","4160","20490","18922","29348","32785","32054","31483","52524","27847","30859","13353","26467","65634","58366","28138","21705","20105","22798","39908","27851","18953","41199","23981","34295","41976","42021","18953","34986","32781","27492","125682","217132","155958","107730","116275","125704","146359","2994488"
"臺東縣","Taitung County","八仙洞遊憩區","Baxian Caves Recreation Area","11551","9482","11625","11476","8815","6124","14833","7692","3774","3981","4942","10788","18211","16908","12798","16205","9088","5045","4358","10315","4693","7191","2313","0","1311","5760","4383","4704","5502","4881","4840","8283","3165","4007","1929","4430","9290","6508","3850","2852","3202","2981","8047","4475","2895","8439","5347","1335","4164","5167","4978","6822","5730","4576","24792","36927","27668","16360","22334","22540","25166","531848"
"臺東縣","Taitung County","綠島遊憩區","Lyudao（Green Island）Recreation Area","66709","35395","36840","28644","9990","6231","12699","8075","9832","12902","15369","38439","77681","74009","54351","40145","6858","4676","6145","12601","14964","34133","19655","937","2272","8139","18976","20512","9430","7614","6147","11301","14914","32961","17392","33598","63360","62733","40228","21063","9491","6106","8084","6701","14326","42306","32199","49283","47680","39573","28197","22661","7542","6252","6080","9623","11879","27941","32058","39747","37916","1483565"
"臺東縣","Taitung County","鹿野高臺及周邊地區","Luyeh high terrace and surrounding areas","199337","117804","45159","51951","42533","46205","64624","45633","34272","38455","34659","52198","184150","228061","46407","61159","46199","50893","52716","84147","50109","55239","28258","0","3893","97161","66729","42516","49720","57444","53759","63894","49339","52752","44841","48170","342459","228504","48007","47802","47547","49999","72072","45816","36880","51757","11322","24803","256240","262942","22336","31885","30339","20427","125601","125435","117725","84897","86501","96844","170764","4729290"
"臺東縣","Taitung County","池上大坡池及周邊地區","Chishang Dapochi and surrounding areas","0","0","0","0","0","0","47144","32770","14124","32011","53477","87144","134173","67144","23987","22439","16872","24133","53336","31764","26113","43216","6720","0","1873","5674","32413","43176","61336","48377","55173","34133","41764","22496","36143","41198","54133","53259","149910","117724","87576","89762","133210","98092","72781","115122","100879","130448","146129","153775","183850","238128","215512","151488","145899","161477","134822","105307","95820","112923","130094","4318443"
"臺東縣","Taitung County","國立臺灣史前文化博物館","National Museum of Prehistory","32179","24465","10774","13683","12412","11737","24647","14962","6787","4852","8817","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1567","14014","12338","4123","6177","3332","3241","12306","5743","2708","6589","9964","19460","29245","29454","10330","14664","12040","9555","9711","11937","8697","12755","10943","11866","22883","460957"
"臺東縣","Taitung County","水產試驗所東部海洋生物研究中心（水族生態研究館）","Eastern Marine Biology Research Center of Fisheries Research Institute, COA (Aquatic Ecosystem Research Center)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83","127","81","287","0","0","0","76","117","105","174","82","83","49","33","0","0","0","166","168","12","28","50","76","61","115","89","196","129","67","137","131","50","100","260","78","61","78","130","135","188","120","205","4127"
"臺東縣","Taitung County","卑南遺址公園","Peinan Site Park","20775","18194","17504","20250","23559","23061","28727","24802","20394","22239","17588","26642","37168","38407","31305","40356","40282","34074","31197","32621","31025","32947","22837","15092","19235","20698","21518","26586","30754","33681","29296","32038","28480","29088","18707","22029","28607","27995","24782","25467","24023","31376","28193","23638","24939","30131","23224","25423","25152","24617","19739","27568","26981","31780","26546","27219","26156","32562","22762","20257","21295","1613588"
