Date,Item,Amount,Category,Time,day
1/3/2023,chai,7,alone,7:00,Wednesday
1/3/2023,chai,20,friend,10:00,Wednesday
1/3/2023,juice,15,friend,13:00,Wednesday
1/3/2023,rikshow,12,alone,14:00,Wednesday
1/3/2023,coffee,12,alone,15:00,Wednesday
1/3/2023,chai with snaks,25,alone,17:00,Wednesday
1/3/2023,coldrink,10,alone,21:30,Wednesday
1/3/2023,others,10,alone,12:00,Wednesday
2/3/2023,chai,7,alone,7:00,Thursday
2/3/2023,juice,15,friend,13:00,Thursday
2/3/2023,rikshow,12,friend,14:00,Thursday
2/3/2023,coffee,12,alone,15:00,Thursday
2/3/2023,chai with snaks,25,alone,18:00,Thursday
2/3/2023,chiness bhel,60,friend,20:00,Thursday
3/3/2023,chai,7,alone,7:00,Friday
3/3/2023,chai,15,friend,10:00,Friday
3/3/2023,idli,40,friend,10:32,Friday
3/3/2023,others,15,alone,12:00,Friday
3/3/2023,chai with snaks,25,alone,18:00,Friday
3/3/2023,choclate,15,friend,22:30,Friday
4/3/2023,chai,7,alone,7:00,Saturday
4/3/2023,chai,10,friend,10:00,Saturday
4/3/2023,juice,15,alone,12:00,Saturday
4/3/2023,rikshow,12,alone,12:30,Saturday
4/3/2023,coffee,12,alone,15:30,Saturday
4/3/2023,others,30,alone,12:00,Saturday
4/3/2023,chai,10,alone,17:30,Saturday
4/3/2023,ice cream,30,friend,21:30,Saturday
5/3/2023,chai with snaks,30,alone,9:30,Sunday
5/3/2023,others,35,alone,10:00,Sunday
5/3/2023,coldrink,10,alone,15:00,Sunday
5/3/2023,chai,7,alone,18:00,Sunday
5/3/2023,shoe,500,alone,17:30,Sunday
5/3/2023,faluda,50,friend,22:40,Sunday
6/3/2023,chai,7,alone,7:00,Monday
6/3/2023,juice,15,friend,12:00,Monday
6/3/2023,coffee,12,alone,15:00,Monday
6/3/2023,chass,17,friend,15:30,Monday
6/3/2023,chai with snaks,20,alone,17:20,Monday
7/3/2023,chai with snaks,25,alone,9:00,Tuesday
7/3/2023,idli,45,friend,10:00,Tuesday
7/3/2023,chai,7,friend,17:00,Tuesday
7/3/2023,ice cream,35,friend,19:00,Tuesday
7/3/2023,others,10,alone,12:00,Tuesday
7/3/2023,pizza,100,friend,21:00,Tuesday
7/3/2023,coldrink,10,alone,1.083333333,Tuesday
7/3/2023,biryani,200,friend,23:30,Tuesday
8/3/2023,chai,20,friend,7:00,Wednesday
8/3/2023,juice,15,friend,10:00,Wednesday
8/3/2023,wifi,350,alone,10:30,Wednesday
8/3/2023,coffee,12,alone,14:00,Wednesday
8/3/2023,chai with snaks,25,alone,18:00,Wednesday
9/3/2023,chai with snaks,25,alone,9:00,Thursday
9/3/2023,chai with snaks,20,alone,17:30,Thursday
9/3/2023,others,15,alone,19:30,Thursday
10/3/2023,chai with snaks,15,alone,9:00,Friday
10/3/2023,others,5,alone,12:00,Friday
10/3/2023,chai with snaks,20,alone,17:00,Friday
10/3/2023,chai,7,friend,19:00,Friday
11/3/2023,chai,7,alone,7:00,Saturday
11/3/2023,juice,15,friend,11:00,Saturday
11/3/2023,chai with snaks,35,alone,17:00,Saturday
11/3/2023,others,20,alone,12:00,Saturday
11/3/2023,chai,7,friend,19:00,Saturday
11/3/2023,coldrink,20,friend,21:00,Saturday
11/3/2023,chicken,50,friend,21:00,Saturday
12/3/2023,chai with snaks,30,alone,9:00,Sunday
12/3/2023,biryani,100,friend,14:00,Sunday
12/3/2023,coldrink,20,friend,14:10,Sunday
12/3/2023,chai,10,friend,18:00,Sunday
12/3/2023,recharge,210,alone,12:00,Sunday
12/3/2023,coldrink,10,friend,21:00,Sunday
12/3/2023,others,10,,18:30,Sunday
13/3/2023,chai,10,alone,7:00,Monday
13/3/2023,petrol,70,friend,10:00,Monday
13/3/2023,juice,25,friend,11:00,Monday
13/3/2023,coffee,12,alone,17:00,Monday
13/3/2023,others,30,friend,18:00,Monday
14/3/2023,chai with snaks,30,alone,9:00,Tuesday
14/3/2023,idli,20,friend,14:00,Tuesday
14/3/2023,chai with snaks,20,alone,18:00,Tuesday
14/3/2023,others,10,alone,18:00,Tuesday
14/3/2023,samosa,14,friend,20:00,Tuesday
15/3/2023,chai with snaks,25,alone,9:00,Wednesday
15/3/2023,coffee,12,alone,14:30,Wednesday
15/3/2023,chai with snaks,15,alone,18:00,Wednesday
16/3/2023,chai with snaks,15,alone,9:00,Thursday
16/3/2023,biryani,100,friend,13:00,Thursday
16/3/2023,chai with snaks,15,alone,17:30,Thursday
16/3/2023,chai,5,friend,19:00,Thursday
17/3/2023,chai with snaks,25,alone,9:00,Friday
17/3/2023,coffee,12,alone,15:00,Friday
17/3/2023,chai with snaks,15,alone,18:00,Friday
18/3/2023,chai with snaks,25,alone,9:00,Saturday
18/3/2023,others,30,alone,9:30,Saturday
19/3/2023,chai with snaks,30,alone,9:00,Sunday
19/3/2023,chai with snaks,30,alone,18:00,Sunday
19/3/2023,chicken,70,friend,21:00,Sunday
20/3/2023,chai with snaks,15,alone,9:00,Monday
20/3/2023,chai with snaks,35,alone,18:00,Monday
20/3/2023,freanky,70,friend,19:00,Monday
20/3/2023,chai,5,friend,19:30,Monday
21/3/2023,chai with snaks,25,alone,9:00,Tuesday
21/3/2023,chai with snaks,20,alone,17:30,Tuesday
21/3/2023,coldrink,15,friend,21:30,Tuesday
22/3/2023,chai with snaks,15,alone,9:00,Wednesday
22/3/2023,juice,25,friend,12:00,Wednesday
22/3/2023,others,30,alone,13:00,Wednesday
22/3/2023,chai with snaks,15,alone,17:00,Wednesday
22/3/2023,chai with snaks,30,alone,9:00,Thursday
22/3/2023,chai with snaks,15,alone,17:30,Thursday
23/3/2023,chai with snaks,25,alone,9:00,Thursday
23/3/2023,samosa,15,friend,11:00,Thursday
23/3/2023,coldrink,10,friend,18:00,Thursday
24/3/2023,chai with snaks,15,alone,9:00,Friday
24/3/2023,maggi,30,friend,13:00,Friday
24/3/2023,chai with snaks,15,friend,17:30,Friday
24/3/2023,coldrink,20,friend,21:30,Friday
25/3/2023,chai with snaks,25,alone,9:00,Saturday
25/3/2023,coffee,12,alone,15:00,Saturday
25/3/2023,chai with snaks,30,alone,17:00,Saturday
26/3/2023,chai with snaks,30,alone,9:00,Sunday
26/3/2023,others,20,alone,12:00,Sunday
26/3/2023,chai,15,friend,18:00,Sunday
26/3/2023,chicken,60,friend,21:00,Sunday
27/3/2023,chai with snaks,20,alone,9:00,Monday
27/3/2023,chai,10,friend,11:00,Monday
27/3/2023,juice,70,friend,15:00,Monday
27/3/2023,rikshow,12,alone,13:00,Monday
27/3/2023,biryani,180,friend,16:00,Monday
27/3/2023,coldrink,20,friend,16:00,Monday
27/3/2023,chai with snaks,15,alone,18:00,Monday
28/3/2023,chai with snaks,45,alone,9:00,Tuesday
28/3/2023,others,45,alone,15:00,Tuesday
28/3/2023,chai with snaks,15,alone,18:00,Tuesday
29/3/2023,chai with snaks,15,alone,9:00,Wednesday
29/3/2023,samosa,20,alone,11:00,Wednesday
29/3/2023,chai with snaks,15,alone,17:30,Wednesday
30/3/2023,chai with snaks,25,alone,9:00,Thursday
30/3/2023,coffee,12,alone,15:00,Thursday
30/3/2023,chai with snaks,15,alone,17:30,Thursday
30/3/2023,others,20,alone,19:00,Thursday
31/3/2023,chai with snaks,15,alone,9:00,Friday
31/3/2023,coldrink,20,friend,15:00,Friday
31/3/2023,chai with snaks,25,alone,17:00,Friday
